ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code
abq,Abaza,,44.25,42.0,abaz1241,abq
aka,Akan,,6.34756,-1.33254,akan1250,aka
anu,Anywa,,7.57714,34.0267,anua1242,anu
arw,Arawak,,5.64295,-56.9243,araw1276,arw
azj,Azerbaijani,,40.9777,46.4737,nort2697,azj
xub,Betta Kurumba,,11.6385,76.6064,bett1235,xub
che,Chechen,,43.5,45.5,chec1245,che
chv,Chuvash,,55.487,47.163,chuv1255,chv
dak,Dakota,,47.6857,-102.12,dako1258,dak
doa,Dom,,-6.03737,144.895,domm1246,doa
rmt,Domari,,32.0,35.0,doma1258,rmt
duc,Duna,,-5.41439,142.475,duna1248,duc
grt,Garo,,25.2954,90.462,garo1247,grt
ell,Greek (Modern),,38.36,23.13,mode1248,ell
deu,German,,48.649,12.4676,stan1295,deu
guk,Gumuz,,11.05,35.93,gumu1244,guk
xed,Hdi,,10.942,13.6881,hdii1240,xed
hid,Hidatsa,,47.7534,-102.528,hida1246,hid
ian,Iatmul,,-4.30064,143.316,iatm1242,ian
ibb,Ibibio,,5.15279,7.86688,ibib1240,ibb
isl,Icelandic,,63.4837,-19.0212,icel1247,isl
xal,Kalmyk,,46.566667,45.316667,kalm1243,xal
cak,Kaqchikel,,14.4662,-90.9881,kaqc1270,cak
kjl,Kham,,28.6521,82.7348,west2420,kjl
xpk,Kulina,,-6.17715,-72.0438,kuli1255,xpk
lhu,Lahu,,21.2701,100.214,lahu1253,lhu
laj,Lango,,2.13867,33.0553,lang1324,laj
lat,Latin,,41.9026,12.4502,lati1261,lat
lwo,Luwo,,7.35089,28.1378,luwo1239,lwo
wmd,Mamaindê,,-12.986439,-60.101072,mama1278,wmd
mle,Manambu,,-4.19082,142.862,mana1298,mle
mpc,Mangarayi,,-14.8,133.5,mang1381,mpc
mkv,Mavea,,-15.4316,167.241,mafe1237,mkv
cas,Mongsen Ao,,-14.64448,-67.83756,mose1249,cas
sns,Nahavaq,,-16.5116,167.477,sout2857,sns
niq,Nandi,,0.793737,35.408478,nand1266,niq
lgk,Neverver,,-16.1986,167.499,ling1265,lgk
nninxl,Nuaulu,,,,nuau1240,
apb,Sa’a,,-9.60258,161.467,saaa1240,apb
see,Seneca,,42.56,-77.53,sene1264,see
srp,Serbian,,44.3238,21.9192,serb1264,srp
sot,Sesotho,,-28.78,27.89,sout2807,sot
ttv,Sivisa Titan,,-2.18168,146.888,tita1241,ttv
slv,Slovene,,46.2543,14.7766,slov1268,slv
tel,Telugu,,16.4529,78.7024,telu1262,tel
bbc,Toba Batak,,2.35498,99.1761,bata1289,bbc
mlu,Toqabaqita,,-8.39233,160.619,toab1237,mlu
yrk,Tundra Nenets,,66.1775,71.0234,nene1249,yrk
unm,Unami,,35.0264,-98.3201,unam1242,unm
onu,Unua,,-16.2638,167.599,unua1237,onu
wiu,Wiru,,-6.35863,144.214,wiru1244,wiu
